uniprot	filename	region_1	region_2
P47736	P47736_003_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
P59676	P59676_U10-000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P14677	P14677_003_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
O16025	O16025_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	374-490	491-1066
P59676	P59676_000_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P14677	P14677_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P47736	P47736_005_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
P14677	P14677_007_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
O16025	O16025_000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	374-490	491-1066
P59676	P59676_006_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P47736	P47736_006_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
P59676	P59676_001_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P14677	P14677_U100-000_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P59676	P59676_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P59676	P59676_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P47736	P47736_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
P47736	P47736_000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
O29238	O29238_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	65-245	506-662
P59676	P59676_004_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P14677	P14677_004_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P14677	P14677_008_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P14677	P14677_009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P47736	P47736_U100-000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
P14677	P14677_000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P59676	P59676_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P47736	P47736_009_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
P47736	P47736_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
P47736	P47736_004_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
P14677	P14677_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
O29238	O29238_U100-000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	65-245	506-662
O16025	O16025_U10-000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	374-490	491-1066
P59676	P59676_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P14677	P14677_002_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P47736	P47736_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
P47736	P47736_008_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
P14677	P14677_001_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P59676	P59676_003_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P14677	P14677_006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	632-691	692-750
P47736	P47736_001_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	1-17	181-397
