uniprot	region_1	region_2	pdb	chain	pred_fn	gt_fn
Q72AS4	52-205	237-315	2wpn	A	AF-Q72AS4-F1-model_v4.cif	2wpn.cif
Q72AS4	52-205	237-315	3ze6	A	AF-Q72AS4-F1-model_v4.cif	3ze6.cif
Q72AS4	52-205	237-315	3ze7	A	AF-Q72AS4-F1-model_v4.cif	3ze7.cif
Q72AS4	52-205	237-315	3ze8	A	AF-Q72AS4-F1-model_v4.cif	3ze8.cif
Q72AS4	52-205	237-315	3ze9	A	AF-Q72AS4-F1-model_v4.cif	3ze9.cif
Q72AS4	52-205	237-315	3zea	A	AF-Q72AS4-F1-model_v4.cif	3zea.cif
Q72AS4	52-205	237-315	5jsh	A	AF-Q72AS4-F1-model_v4.cif	5jsh.cif
Q72AS4	52-205	237-315	5jsk	A	AF-Q72AS4-F1-model_v4.cif	5jsk.cif
Q72AS4	52-205	237-315	5jsu	A	AF-Q72AS4-F1-model_v4.cif	5jsu.cif
Q72AS4	52-205	237-315	5jsy	A	AF-Q72AS4-F1-model_v4.cif	5jsy.cif
Q72AS4	52-205	237-315	5jt1	A	AF-Q72AS4-F1-model_v4.cif	5jt1.cif
Q72AS4	52-205	237-315	6rtp	A	AF-Q72AS4-F1-model_v4.cif	6rtp.cif
Q72AS4	52-205	237-315	6ru9	A	AF-Q72AS4-F1-model_v4.cif	6ru9.cif
Q72AS4	52-205	237-315	6ruc	A	AF-Q72AS4-F1-model_v4.cif	6ruc.cif
Q72AS4	52-205	237-315	6z7r	A	AF-Q72AS4-F1-model_v4.cif	6z7r.cif
Q72AS4	52-205	237-315	6z8j	A	AF-Q72AS4-F1-model_v4.cif	6z8j.cif
Q72AS4	52-205	237-315	6z8m	A	AF-Q72AS4-F1-model_v4.cif	6z8m.cif
Q72AS4	52-205	237-315	6z8o	A	AF-Q72AS4-F1-model_v4.cif	6z8o.cif
Q72AS4	52-205	237-315	6z9g	A	AF-Q72AS4-F1-model_v4.cif	6z9g.cif
Q72AS4	52-205	237-315	6z9o	A	AF-Q72AS4-F1-model_v4.cif	6z9o.cif
Q72AS4	52-205	237-315	6za1	A	AF-Q72AS4-F1-model_v4.cif	6za1.cif
Q7CRA4	113-302	425-657	2bg1	A	AF-Q7CRA4-F1-model_v4.cif	2bg1.cif
Q7CRA4	113-302	425-657	2uwx	A	AF-Q7CRA4-F1-model_v4.cif	2uwx.cif
Q7CRA4	113-302	425-657	2xd1	A	AF-Q7CRA4-F1-model_v4.cif	2xd1.cif
Q7CRA4	113-302	425-657	2xd5	A	AF-Q7CRA4-F1-model_v4.cif	2xd5.cif
Q7CRA4	113-302	425-657	2y2g	A	AF-Q7CRA4-F1-model_v4.cif	2y2g.cif
Q7CRA4	113-302	425-657	2y2h	A	AF-Q7CRA4-F1-model_v4.cif	2y2h.cif
Q7CRA4	113-302	425-657	2y2i	A	AF-Q7CRA4-F1-model_v4.cif	2y2i.cif
Q7CRA4	113-302	425-657	2y2j	A	AF-Q7CRA4-F1-model_v4.cif	2y2j.cif
Q7CRA4	113-302	425-657	2y2k	A	AF-Q7CRA4-F1-model_v4.cif	2y2k.cif
Q7CRA4	113-302	425-657	2y2l	A	AF-Q7CRA4-F1-model_v4.cif	2y2l.cif
Q7CRA4	113-302	425-657	2y2m	A	AF-Q7CRA4-F1-model_v4.cif	2y2m.cif
Q7CRA4	113-302	425-657	2y2n	A	AF-Q7CRA4-F1-model_v4.cif	2y2n.cif
Q7CRA4	113-302	425-657	2y2o	A	AF-Q7CRA4-F1-model_v4.cif	2y2o.cif
Q7CRA4	113-302	425-657	2y2p	A	AF-Q7CRA4-F1-model_v4.cif	2y2p.cif
Q7CRA4	113-302	425-657	2y2q	A	AF-Q7CRA4-F1-model_v4.cif	2y2q.cif
Q7CRA4	113-302	425-657	7zuh	A	AF-Q7CRA4-F1-model_v4.cif	7zuh.cif
Q7CRA4	113-302	425-657	7zui	A	AF-Q7CRA4-F1-model_v4.cif	7zui.cif
Q7CRA4	113-302	425-657	7zuj	A	AF-Q7CRA4-F1-model_v4.cif	7zuj.cif
Q7CRA4	113-302	425-657	7zuk	A	AF-Q7CRA4-F1-model_v4.cif	7zuk.cif
Q7CRA4	113-302	425-657	7zul	A	AF-Q7CRA4-F1-model_v4.cif	7zul.cif
P14677	632-691	692-750	1pmd	A	AF-P14677-F1-model_v4.cif	1pmd.cif
P14677	632-691	692-750	1qme	A	AF-P14677-F1-model_v4.cif	1qme.cif
P14677	632-691	692-750	1qmf	A	AF-P14677-F1-model_v4.cif	1qmf.cif
P14677	632-691	692-750	1rp5	A	AF-P14677-F1-model_v4.cif	1rp5.cif
P14677	632-691	692-750	2z2l	A	AF-P14677-F1-model_v4.cif	2z2l.cif
P14677	632-691	692-750	2z2m	A	AF-P14677-F1-model_v4.cif	2z2m.cif
P14677	632-691	692-750	2zc3	A	AF-P14677-F1-model_v4.cif	2zc3.cif
P14677	632-691	692-750	2zc4	A	AF-P14677-F1-model_v4.cif	2zc4.cif
P00582	1-323	324-517	1d8y	B	AF-P00582-F1-model_v4.cif	1d8y.cif
P00582	1-323	324-517	1d9d	B	AF-P00582-F1-model_v4.cif	1d9d.cif
P00582	1-323	324-517	1d9f	B	AF-P00582-F1-model_v4.cif	1d9f.cif
P00582	1-323	324-517	1dpi	A	AF-P00582-F1-model_v4.cif	1dpi.cif
P00582	1-323	324-517	1kfd	A	AF-P00582-F1-model_v4.cif	1kfd.cif
P00582	1-323	324-517	1kfs	B	AF-P00582-F1-model_v4.cif	1kfs.cif
P00582	1-323	324-517	1kln	C	AF-P00582-F1-model_v4.cif	1kln.cif
P00582	1-323	324-517	1krp	B	AF-P00582-F1-model_v4.cif	1krp.cif
P00582	1-323	324-517	1ksp	B	AF-P00582-F1-model_v4.cif	1ksp.cif
P00582	1-323	324-517	1qsl	B	AF-P00582-F1-model_v4.cif	1qsl.cif
P00582	1-323	324-517	2kfn	B	AF-P00582-F1-model_v4.cif	2kfn.cif
P00582	1-323	324-517	2kfz	B	AF-P00582-F1-model_v4.cif	2kfz.cif
P00582	1-323	324-517	2kzm	B	AF-P00582-F1-model_v4.cif	2kzm.cif
P00582	1-323	324-517	2kzz	B	AF-P00582-F1-model_v4.cif	2kzz.cif
P00582	1-323	324-517	8oo6	A	AF-P00582-F1-model_v4.cif	8oo6.cif
P00582	1-323	324-517	8ooy	A	AF-P00582-F1-model_v4.cif	8ooy.cif
A0A0H2WY27	56-288	317-382	3hum	A	AF-A0A0H2WY27-F1-model_v4.cif	3hum.cif
A0A0H2WY27	56-288	317-382	3hun	A	AF-A0A0H2WY27-F1-model_v4.cif	3hun.cif
A0A0H2WY27	56-288	317-382	5tw4	A	AF-A0A0H2WY27-F1-model_v4.cif	5tw4.cif
A0A0H2WY27	56-288	317-382	5tw8	A	AF-A0A0H2WY27-F1-model_v4.cif	5tw8.cif
A0A0H2WY27	56-288	317-382	5tx9	A	AF-A0A0H2WY27-F1-model_v4.cif	5tx9.cif
A0A0H2WY27	56-288	317-382	5ty2	A	AF-A0A0H2WY27-F1-model_v4.cif	5ty2.cif
A0A0H2WY27	56-288	317-382	5ty7	A	AF-A0A0H2WY27-F1-model_v4.cif	5ty7.cif
A0A0H2WY27	56-288	317-382	6c39	A	AF-A0A0H2WY27-F1-model_v4.cif	6c39.cif
A0A0H2WY27	56-288	317-382	6c3k	A	AF-A0A0H2WY27-F1-model_v4.cif	6c3k.cif
A0A0H2WY27	56-288	317-382	6dz8	A	AF-A0A0H2WY27-F1-model_v4.cif	6dz8.cif
A0A0H2WY27	56-288	317-382	7kcv	A	AF-A0A0H2WY27-F1-model_v4.cif	7kcv.cif
A0A0H2WY27	56-288	317-382	7kcw	A	AF-A0A0H2WY27-F1-model_v4.cif	7kcw.cif
A0A0H2WY27	56-288	317-382	7kcx	A	AF-A0A0H2WY27-F1-model_v4.cif	7kcx.cif
A0A0H2WY27	56-288	317-382	7kcy	A	AF-A0A0H2WY27-F1-model_v4.cif	7kcy.cif
P77933	524-665	1132-1265	1wns	A	AF-P77933-F1-model_v4.cif	1wns.cif
P77933	524-665	1132-1265	2cw7	A	AF-P77933-F1-model_v4.cif	2cw7.cif
P77933	524-665	1132-1265	2cw8	A	AF-P77933-F1-model_v4.cif	2cw8.cif
P77933	524-665	1132-1265	4k8z	A	AF-P77933-F1-model_v4.cif	4k8z.cif
P77933	524-665	1132-1265	5omf	A	AF-P77933-F1-model_v4.cif	5omf.cif
P77933	524-665	1132-1265	6q4t	A	AF-P77933-F1-model_v4.cif	6q4t.cif
P77933	524-665	1132-1265	7om3	A	AF-P77933-F1-model_v4.cif	7om3.cif
P77933	524-665	1132-1265	7omb	A	AF-P77933-F1-model_v4.cif	7omb.cif
P77933	524-665	1132-1265	7omg	A	AF-P77933-F1-model_v4.cif	7omg.cif
P77933	524-665	1132-1265	7rsu	A	AF-P77933-F1-model_v4.cif	7rsu.cif
Q8GN86	9-407	416-491	1t5d	A	AF-Q8GN86-F1-model_v4.cif	1t5d.cif
Q8GN86	9-407	416-491	1t5h	A	AF-Q8GN86-F1-model_v4.cif	1t5h.cif
Q8GN86	9-407	416-491	2qvx	A	AF-Q8GN86-F1-model_v4.cif	2qvx.cif
Q8GN86	9-407	416-491	2qvy	A	AF-Q8GN86-F1-model_v4.cif	2qvy.cif
Q8GN86	9-407	416-491	2qvz	A	AF-Q8GN86-F1-model_v4.cif	2qvz.cif
Q8GN86	9-407	416-491	2qw0	A	AF-Q8GN86-F1-model_v4.cif	2qw0.cif
Q8GN86	9-407	416-491	3cw8	A	AF-Q8GN86-F1-model_v4.cif	3cw8.cif
Q8GN86	9-407	416-491	3cw9	A	AF-Q8GN86-F1-model_v4.cif	3cw9.cif
Q8GN86	9-407	416-491	3dlp	A	AF-Q8GN86-F1-model_v4.cif	3dlp.cif
Q51504	58-207	247-546	3oc2	A	AF-Q51504-F1-model_v4.cif	3oc2.cif
Q51504	58-207	247-546	3ocl	A	AF-Q51504-F1-model_v4.cif	3ocl.cif
Q51504	58-207	247-546	3ocn	A	AF-Q51504-F1-model_v4.cif	3ocn.cif
Q51504	58-207	247-546	3pbs	A	AF-Q51504-F1-model_v4.cif	3pbs.cif
